Name,DLdown,DLup,ULdown,ULup,BWmax,Mode
n1,2110,2170,1920,1980,50,FDD
n2,1930,1990,1850,1910,40,FDD
n3,1805,1880,1710,1785,50,FDD
n5,869,894,824,849,25,FDD
n7,2620,2690,2500,2570,50,FDD
n8,925,960,880,915,35,FDD
n12,729,746,699,716,15,FDD
n13,746,756,777,787,10,FDD
n14,758,768,788,798,10,FDD
n18,860,875,815,830,15,FDD
n20,791,821,832,862,20,FDD
n24,1525,1539,1626.5,1660.5,10,FDD
n25,1930,1995,1850,1915,45,FDD
n26,859,894,814,849,30,FDD
n28,758,803,703,748,40,FDD
n29,717,728,,,10,SDL
n30,2350,2360,2305,2315,10,FDD
n34,2010,2025,,,15,TDD
n38,2570,2620,,,40,TDD
n39,1880,1920,,,40,TDD
n40,2300,2400,,,100,TDD
n41,2496,2690,,,100,TDD
n46,5150,5925,,,100,TDD
n47,5855,5925,,,40,TDD
n48,3550,3700,,,100,TDD
n50,1432,1517,,,80,TDD
n51,1427,1432,,,5,TDD
n53,2483.5,2495,,,10,TDD
n54,1670,1675,,,5,TDD
n65,2110,2200,1920,2010,50,FDD
n66,2110,2200,1710,1780,45,FDD
n67,738,758,,,20,SDL
n70,1995,2020,1695,1710,25,FDD
n71,617,652,663,698,35,FDD
n74,1475,1518,1427,1470,20,FDD
n75,1432,1517,,,50,SDL
n76,1427,1432,,,5,SDL
n77,3300,4200,,,100,TDD
n78,3300,3800,,,100,TDD
n79,4400,5000,,,100,TDD
n80,,,1710,1785,40,SUL
n81,,,880,915,20,SUL
n82,,,832,862,20,SUL
n83,,,703,748,40,SUL
n84,,,1920,1980,50,SUL
n85,728,746,698,716,15,FDD
n86,,,1710,1780,40,SUL
n89,,,824,849,20,SUL
n90,2496,2690,,,100,TDD
n91,1427,1432,832,862,10,FDD
n92,1432,1517,832,862,20,FDD
n93,1427,1432,880,915,10,FDD
n94,1432,1517,860,915,20,FDD
n95,,,2010,2025,15,SUL
n96,5925,7125,,,100,TDD
n97,,,2300,2400,100,SUL
n98,,,1880,1920,40,SUL
n99,,,1626.5,1660.5,10,SUL
n100,919.4,925,874.4,880,5,FDD
n101,1900,1910,,,10,TDD
n102,5925,6425,,,100,TDD
n104,6425,7125,,,100,TDD
n105,612,652,663,703,35,FDD
n255,1525,1559,1626.5,1660.5,20,FDD
n256,2170,2200,1980,2010,20,FDD
n257,26500,29500,,,400,TDD
n258,24250.1,27500,,,400,TDD
n259,39500,43500,,,400,TDD
n260,37000,40000,,,400,TDD
n261,27500,28350,,,400,TDD
n262,47200,48200,,,400,TDD
n263,57095,70904.6,,,2000,TDD
1,2110,2170,1920,1980,20,FDD
2,1930,1990,1850,1910,20,FDD
3,1805,1880,1710,1785,20,FDD
4,2110,2155,1710,1755,20,FDD
5,869,894,824,849,10,FDD
7,2620,2690,2500,2570,20,FDD
8,925,960,880,915,10,FDD
9,1844.9,1879.9,1749.9,1784.9,20,FDD
10,2110,2170,1710,1770,20,FDD
11,1475.9,1495.9,1427.9,1447.9,10,FDD
12,729,746,699,716,10,FDD
13,746,756,777,787,10,FDD
14,758,768,788,798,10,FDD
17,734,746,704,716,10,FDD
18,860,875,815,830,15,FDD
19,875,890,830,845,15,FDD
20,791,821,832,862,20,FDD
21,1495.9,1510.9,1447.9,1462.9,15,FDD
22,3510,3590,3410,3490,20,FDD
24,1525,1559,1626.5,1660.5,10,FDD
25,1930,1995,1850,1915,20,FDD
26,859,894,814,849,15,FDD
27,852,869,807,824,10,FDD
28,758,803,703,748,20,FDD
29,717,728,,,10,SDL
30,2350,2360,2305,2315,10,FDD
31,462.5,467.5,452.5,457.5,5,FDD
32,1452,1496,,,20,SDL
33,1900,1920,,,20,TDD
34,2010,2025,,,15,TDD
35,1850,1910,,,20,TDD
36,1930,1990,,,20,TDD
37,1910,1930,,,20,TDD
38,2570,2620,,,20,TDD
39,1880,1920,,,20,TDD
40,2300,2400,,,20,TDD
41,2496,2690,,,20,TDD
42,3400,3600,,,20,TDD
43,3600,3800,,,20,TDD
44,703,803,,,20,TDD
45,1447,1467,,,20,TDD
46,5150,5925,,,20,TDD
47,5855,5925,,,20,TDD
48,3550,3700,,,20,TDD
49,3550,3700,,,20,TDD
50,1432,1517,,,20,TDD
51,1427,1432,,,5,TDD
52,3300,3400,,,20,TDD
53,2483.5,2495,,,10,TDD
54,1670,1675,,,5,TDD
65,2110,2200,1920,2010,20,FDD
66,2110,2200,1710,1780,20,FDD
67,738,758,,,20,SDL
68,753,783,698,728,10,FDD
69,2570,2620,,,20,SDL
70,1995,2020,1695,1710,20,FDD
71,617,652,663,698,20,FDD
72,461,466,451,456,5,FDD
73,460,465,450,455,5,FDD
74,1475,1518,1427,1470,20,FDD
75,1432,1517,,,20,SDL
76,1427,1432,,,20,SDL
85,728,746,698,716,10,FDD
87,420,425,410,415,5,FDD
88,422,427,412,417,5,FDD
103,757,758,787,788,1.4,FDD
106,935,940,896,901,3,FDD
