Purpose,down,up
公共・一般業務(固定・移動),335.4,347.7
デジタル簡易無線,351.16875,351.38125
各種用途,347.7,380.2
コードレス電話,380.2,381.325
各種用途(固定・移動)・特定省電力,381.325,420
電波天文,406.1,410
特定省電力,420,430
アマチュア,430,440
国際輸送用データ転送用アクティブタグシステム,433.67,434.17
デジタル簡易無線,467,467.4
デジタル簡易無線,468.55,468.85
TV放送,470,710
特定ラジオマイク,470,714
携帯電話,718,748
携帯電話,773,803
ITS,755,765
ラジオマイク(特定小電力),806,810
携帯電話,815,845
携帯電話,860,890
MCA,850,860
MCA,895,900
MCA,930,945
空間伝送型ワイヤレス電力伝送システム,918,919.2
RFID,915,930
携帯電話,900,915
携帯電話,945,960
航空無線航行,960,1215
準天頂衛星,1164,1300
地球探査衛星,1215,1300
特定省電力,1216,1217
特定省電力,1252,1253
GPS,1215,1240
移動,1240,1300
放送事業,1240,1300
各種レーダー,1215,1400
電波天文,1400,1427
宇宙運用,1427,1427.9
携帯電話,1427.9,1462.9
携帯電話,1475.9,1510.9
移動衛星,1525,1559
無線航行衛星,1559,1610
GPS等,1563.4,1587.4
移動衛星,1610,1660.5
電波天文,1610.6,1613.8
電波天文,1660,1670
気象援助,1670,1690
携帯電話,1710,1785
携帯電話,1805,1890
PHS,1884.5,1915.7
デジタルコードレス電話,1888.5,1906.1
デジタルコードレス電話,1911.6,1916.6
携帯電話,1920,1980
準天頂衛星,1980,2010
宇宙運用,2025,2110
ルーラル加入者系無線,2025.5,2075.5
携帯電話,2110,2170
準天頂衛星,2170,2200
宇宙運用,2200,2300
ルーラル加入者系無線,2205.5,2255.5
公共業務(固定・移動),2300,2330
公共業務(固定),2330,2370
公共業務(固定・移動),2370,2400
放送事業,2330,2370
携帯電話,2330,2370
産業科学医療用,2400,2500
無線LAN等,2400,2497
アマチュア,2400,2450
ロボット用無線,2483.5,2494
移動衛星,2500,2535
移動衛星,2535,2690
広帯域移動無線アクセスシステム,2545,2645
各種レーダー,2700,3400
超広帯域無線システム,3400,4800
携帯電話,3400,4100
移動,4100,4200
航空無線航行,4200,4400
移動,4400,4500
携帯電話,4500,4600
ローカル5G,4600,4900
電通事業(固定),4600,4800
無線アクセス,4900,5000
無線航行衛星,5000,5030
航空システム,5030,5150
無線LAN等,5150,5350
気象レーダー,5250,5372.5
各種レーダー,5350,5850
無線LAN等,5470,5730
空間伝送型ワイヤレス電力伝送システム,5650,5755
空間伝送型ワイヤレス電力伝送システム,5740,5764
DSRC,5770,5850
産業科学医療用,5730,5875
放送事業(固定・移動),5850,5925
電通事業(固定),5925,6425
電通業務(固定衛星),5850,6485
無線LAN等,5925,6425
放送事業(固定・移動),6425,6570
電通・公共・一般業務・放送事業(固定),6570,6870
放送事業(固定・移動),6870,7125
電通・公共・一般業務・放送事業(固定),7125,7900
電通・公共業務(固定衛星・移動衛星),7250,7750
電通・公共業務(固定衛星・移動衛星),7900,8400
超広帯域無線システム,7250,10250
各種レーダー,10000,10250
アマチュア,10000,10250
放送事業(固定・移動),10250,10450
アマチュア,10450,10500
各種レーダー,10500,10550
放送事業(固定・移動),10550,10680
電波天文,10600,10700
電通事業(固定・移動),10700,11700
電通・公共業務(固定衛星),10700,11700
BS放送,11700,12200
CS放送,12200,12750
電通・公共業務(固定衛星),12200,12750
電通・公共・一般業務(固定),12200,12500
電通業務(固定衛星),12750,12950
放送事業(固定・移動),12950,13250
各種レーダー,13250,13900
電通業務等(固定衛星),13750,14500
BS・CSフィーダリンク,14000,14500
電通事業(固定・移動),14400,15250
公共業務(移動),14700,147900
公共業務(移動),15250,15350
電波天文,15350,15400
各種レーダー,15400,17300
BSフィーダリンク,17300,17800
電通業務等(固定衛星),17800,21200
無線アクセスシステム・電通業務(固定)・公共・一般業務(固定),17700,18720
無線アクセスシステム・電通業務(固定)・公共・一般業務(固定),19220,19700
衛星放送,21400,22000
無線アクセスシステム,22000,22400
エントランス回線(固定),22400,22600
無線アクセスシステム,22600,23000
電波天文,22210,22500
エントランス回線(固定),23000,23200
CATV番組中継(固定・移動),23200,23600
衛星間通信,23000,23550
電波天文,23600,24000
アマチュア,24000,24050
各種レーダー,24050,24750
超広帯域無線システム,24250,29000
小電力データ通信システム,24750,25250
加入者系無線アクセスシステム,25250,27000
電通業務等(固定衛星),27000,31000
携帯電話,27000,28200
ローカル5G,28200,29100
携帯電話,29100,29500
電波天文,31300,31800
各種レーダー,33400,36000
公共・一般業務(移動),36000,37500
公共・一般業務(固定),37500,38000
無線アクセスシステム,38000,38500
公共・一般業務(固定),38500,39000
無線アクセスシステム,39000,39500
放送事業(移動),41000,42000
電波天文,42500,43500
公共業務(移動),43500,45300
アマチュア,47000,47200
電波天文,48940,49040
電波天文,50200,50400
簡易無線,50400,51200
電波天文,51400,54250
放送事業(移動),54250,55780
電通・公共・一般業務(固定・移動),55780,59000
小電力データ通信システム,57000,68000
レーダー(特定少電力),60000,61000
電波天文,64000,65000
電通・公共・一般業務(固定・移動),71000,76000
自動車レーダー(特定少電力),76000,81000
電波天文,76000,77500
アマチュア,77500,78000
電波天文,79000,94000
電通・公共・一般業務(固定・移動),81000,86000
電波天文,94100,116000
放送事業(移動),116000,134000
電波天文,130000,134000
アマチュア,134000,136000
電波天文,136000,158500
電波天文,164000,167000
電波天文,182000,185000
電波天文,200000,231500
電波天文,241000,248000
アマチュア,248000,250000
電波天文,250000,275000
