Name,Down,Up
1,2402,2422
2,2407,2427
3,2412,2432
4,2417,2437
5,2422,2442
6,2427,2447
7,2432,2452
8,2437,2457
9,2442,2462
10,2447,2467
11,2452,2472
12,2457,2477
13,2462,2482
14,2474,2494
36,5170,5190
40,5190,5210
44,5210,5230
48,5230,5250
52,5250,5270
56,5270,5290
60,5290,5310
64,5310,5330
100,5490,5510
104,5510,5530
108,5530,5550
112,5550,5570
116,5570,5590
120,5590,5610
124,5610,5630
128,5630,5650
132,5650,5670
136,5670,5690
140,5690,5710
144,5710,5730
149,5735,5755
153,5755,5775
157,5775,5795
161,5795,5815
165,5815,5835
ax1,5945,5965
ax5,5965,5985
ax9,5985,6005
ax13,6005,6025
ax17,6025,6045
ax21,6045,6065
ax25,6065,6085
ax29,6085,6105
ax33,6105,6125
ax37,6125,6145
ax41,6145,6165
ax45,6165,6185
ax49,6185,6205
ax53,6205,6225
ax57,6225,6245
ax61,6245,6265
ax65,6265,6285
ax69,6285,6305
ax73,6305,6325
ax77,6325,6345
ax81,6345,6365
ax85,6365,6385
ax89,6385,6405
ax93,6405,6425
ax97,6425,6445
ax101,6445,6465
ax105,6465,6485
ax109,6485,6505
ax113,6505,6525
ax117,6525,6545
ax121,6545,6565
ax125,6565,6585
ax129,6585,6605
ax133,6605,6625
ax137,6625,6645
ax141,6645,6665
ax145,6665,6685
ax149,6685,6705
ax153,6705,6725
ax157,6725,6745
ax161,6745,6765
ax165,6765,6785
ax169,6785,6805
ax173,6805,6825
ax177,6825,6845
ax181,6845,6865
ax185,6865,6885
ax189,6885,6905
ax193,6905,6925
ax197,6925,6945
ax201,6945,6965
ax205,6965,6985
ax209,6985,7005
ax213,7005,7025
ax217,7025,7045
ax221,7045,7065
ax225,7065,7085
ax229,7085,7105
ax233,7105,7125
ax3,5945,5985
ax11,5985,6025
ax19,6025,6065
ax27,6065,6105
ax35,6105,6145
ax43,6145,6185
ax51,6185,6225
ax59,6225,6265
ax67,6265,6305
ax75,6305,6345
ax83,6345,6385
ax91,6385,6425
ax99,6425,6465
ax107,6465,6505
ax115,6505,6545
ax123,6545,6585
ax131,6585,6625
ax139,6625,6665
ax147,6665,6705
ax155,6705,6745
ax163,6745,6785
ax171,6785,6825
ax179,6825,6865
ax187,6865,6905
ax195,6905,6945
ax203,6945,6985
ax211,6985,7025
ax219,7025,7065
ax227,7065,7105
ax7,5945,6025
ax23,6025,6105
ax39,6105,6185
ax55,6185,6265
ax71,6265,6345
ax87,6345,6425
ax103,6425,6505
ax119,6505,6585
ax135,6585,6665
ax151,6665,6745
ax167,6745,6825
ax183,6825,6905
ax199,6905,6985
ax215,6985,7065
ax15,5945,6105
ax47,6105,6265
ax79,6265,6425
ax111,6425,6585
ax143,6585,6745
ax175,6745,6905
ax207,6905,7065
