Name,Down,Up
ETSI26,26957,27283
ETSI40,40660,40700
ETSI433,433050,434790
ETSI863,863000,870000
ETSI868,868000,868600
Standard EN 302 208 1,865000,865200
Standard EN 302 208 2,865200,865400
Standard EN 302 208 3,865400,865600
Standard EN 302 208 4,865600,865800
Standard EN 302 208 5,865800,866000
Standard EN 302 208 6,866000,866200
Standard EN 302 208 7,866200,866400
Standard EN 302 208 8,866400,866600
Standard EN 302 208 9,866600,866800
Standard EN 302 208 10,866800,867000
Standard EN 302 208 11,867000,867200
Standard EN 302 208 12,867200,867400
Standard EN 302 208 13,867400,867600
Standard EN 302 208 14,867600,867800
Standard EN 302 208 15,867800,868000
